VideoID,FStart,FEnd,Caption,Video_Duration,COS
_O9kWD8nuRU_70_76,0,3,A woman is peeling a taro root using a knife.,6,3
_O9kWD8nuRU_70_76,3,5,She cuts peeled taro root into smaller pieces.,6,3
_O9kWD8nuRU_70_76,5,6,Puts the cut pieces into the bowl.,6,3
_O9kWD8nuRU_77_81,0,2,She cuts peeled taro root into smaller pieces.,4,3
_O9kWD8nuRU_77_81,2,3,Puts the cut pieces into the bowl.,4,3
_O9kWD8nuRU_77_81,3,4,Pours salt over the cut vegetable in the bowl.,4,3
_OBlgSz8sSM_15_32,0,6,A kid is putting his finger into a baby's mouth.,16,2
_OBlgSz8sSM_15_32,6,16,The kid starts screaming and crying as the baby bit him.,16,2
_pBeOAMjGm8_1_18,0,17,A young guy is playing guitar and singing along while sitting in a room.,17,1
_pj2Nutu5v8_1_8,0,7,"A toddler is wearing a headset with microphone and repeating words ""Fire Truck"" while looking around.",7,1
_QJbjKkfdcs_52_57,0,3,A man is playing violin.,5,2
_QJbjKkfdcs_52_57,3,5,A woman starts singing in the microphone.,5,2
_sJ_09Mf1HY_49_72,0,23,A young guy is playing and showcasing tricks by kicking the soccer ball while the crowd behind him cheers and claps.,23,2
_sJ_09Mf1HY_49_72,2,4,The cameraman behind the boy goes out with his camera.,23,2
_SNE2MYAotU_41_49,0,8,A lemur is being scratched and caressed by a woman's hands,8,1
_txL575S_OA_13_23,0,10,A group of zebras are standing in a field and some of them are grazing the grass,10,1
_UqnTFs1BLc_23_27,0,4,A female toddler is drinking water from an orange colored plastic glass standing in a bathroom.,4,1
_WRC7HXBJpU_360_370,0,2,A block of butter is melting in a pan.,10,2
_WRC7HXBJpU_360_370,2,10,A person stirs the melted butter using a wooden spoon and puts it back.,10,2
_WRC7HXBJpU_386_391,0,5,A person pours Rice Roni from a red packet into the pan containing some liquid.,5,1
_WRC7HXBJpU_395_401,0,1,A person picks up a wooden spoon.,6,2
_WRC7HXBJpU_395_401,1,6,He starts stirring and mixing the rice using the wooden spoon in the pan.,6,2
_WRC7HXBJpU_414_425,0,11,Hot water from a beaker is being poured in to the pan containing half cooked rice in it.,11,1
_WRC7HXBJpU_451_464,0,13,A man is putting pork chops in the pan filled with water and rice using the cooking tongs.,13,1
0bSz70pYAP0_5_15,0,10,A plane is flying in the sky with caption Rc adventures,10,1
0GXq1An3yHI_22_35,0,13,A man is cutting green chillies with a knife.,13,1
0hyZ__3YhZc_279_283,0,4,A man is pouring cooking oil in a wok placed over stove.,4,1
0hyZ__3YhZc_289_295,0,5,A man is putting chopped vegetables in a wok having oil.,5,1
0hyZ__3YhZc_302_307,0,5,A man is mixing vegetables in a wok with a turner.,5,1
0hyZ__3YhZc_341_348,0,7,A man is adding spices to vegetables cooking inside a wok.,7,1
0hyZ__3YhZc_352_356,0,4,A man is adding tomato puree to vegetables in a wok.,4,1
0hyZ__3YhZc_364_370,0,6,A man is adding water to the tomato puree can.,6,1
0hyZ__3YhZc_380_384,0,3,A man is putting water to vegetables in a pan.,4,2
0hyZ__3YhZc_380_384,3,4,and is having some beans in a bowl.,4,2
0hyZ__3YhZc_388_394,0,2,A man is putting brown beans into a wok .,6,2
0hyZ__3YhZc_388_394,2,6,and then putting red beans into wok,6,2
0hyZ__3YhZc_410_417,0,7,A man is putting spices in a wok.,7,1
0hyZ__3YhZc_418_424,0,6,A man is putting spices in a wok using a measuring spoon.,6,1
0hyZ__3YhZc_485_490,0,5,A man is mixing vegetables in pan with a turner.,5,1
0hyZ__3YhZc_562_568,0,6,A man is mixing vegetables in a bowl using a spoon.,6,1
0hyZ__3YhZc_575_580,0,5,A man is coating a bread with vegetables kept in a bowl.,5,1
0hyZ__3YhZc_598_603,0,4,A man is making the vegetable cool by blowing air over it .,5,2
0hyZ__3YhZc_598_603,4,5,and also speaking something about the dish.,5,2
00jrXRMlZOY_0_10,0,10,A man is touching and tickling a frog on its cheeks.,10,1
_xf24TYgbuY_14_20,0,5,A man is putting tissues on a plate.,6,2
_xf24TYgbuY_14_20,5,6,and a chocolate box comes into view.,6,2
_yUiusXxfWI_150_165,0,12,A man is putting thin threads in a black wok.,15,2
_yUiusXxfWI_150_165,12,15,and it catches fire .,15,2
_ZwwKOzpt2I_69_76,0,7,A man is cutting lamb into slices with a knife and is putting them aside.,7,1
0hyZ__3YhZc_632_637,0,4,A man is tasting a dish with a spoon in his kitchen.,5,2
0hyZ__3YhZc_632_637,4,5,and then he is reviewing the dish.,5,2
0I4VKj4d0WI_24_40,0,11,A man is making a vertical line of soap bubbles using two spoons.,16,2
0I4VKj4d0WI_24_40,11,16,and then speaking about them to public holding it in hand.,16,2
0IDJG0q9j_k_1_24,0,23,A man is riding a bicycle with his legs around a circular ground.,23,1
0k1Ak8aTMVI_4_12,0,3,A brown and a black cat comes near a small door.,8,3
0k1Ak8aTMVI_4_12,3,6,and the brown cat jumps outside above the door.,8,3
0k1Ak8aTMVI_4_12,6,8,and the black cat jumps on the door.,8,3
0lh_UWF9ZP4_21_26,0,1,A woman is cooking in kitchen with a white dog beside her.,5,2
0lh_UWF9ZP4_21_26,1,5,and cutting a potato into slices with a knife.,5,2
0lh_UWF9ZP4_27_31,0,3,A woman is chopping the potatoes.,4,2
0lh_UWF9ZP4_27_31,3,4,and picks sone spices from a bowl.,4,2
0lh_UWF9ZP4_38_46,0,7,A woman is mixing spices with oil in a bowl .,8,2
0lh_UWF9ZP4_38_46,7,8,and is transferring it to other utensil in kitchen.,8,2
0lh_UWF9ZP4_50_60,0,10,A woman is adding spices to rice kept in a bowl.,10,1
0lh_UWF9ZP4_62_69,0,6,A woman is mixing rice in a bowl .,7,2
0lh_UWF9ZP4_62_69,6,7,and is breaking an egg.,7,2
0lh_UWF9ZP4_71_77,0,6,A woman is breaking eggs in a bowl.,6,1
0lh_UWF9ZP4_79_82,0,3,A woman is mixing spices into eggs in bowl.,3,1
0lh_UWF9ZP4_82_87,0,5,A woman is whisking egg mixture in a bowl with a whisker.,5,1
0lh_UWF9ZP4_94_103,0,7,A woman is adding egg batter to a pan.,9,2
0lh_UWF9ZP4_94_103,7,9,and is spreading it with chopsticks.,9,2
0lh_UWF9ZP4_103_110,0,7,A woman is rolling tha egg in pan with chopsticks.,7,1
0lh_UWF9ZP4_138_145,0,7,A woman is cutting egg roll into thin slices.,7,1
0lh_UWF9ZP4_148_155,0,7,A woman js taking out nerve of a seafood element with a needle.,7,1
0lh_UWF9ZP4_157_160,0,2,A woman is inserting wooden sticks into prawns.,3,2
0lh_UWF9ZP4_157_160,2,3,and is standing in kitchen beside a dog.,3,2
0lh_UWF9ZP4_165_170,0,5,A woman is boiling the prawns in a wok.,5,1
0lh_UWF9ZP4_174_178,0,3,A woman is peeling off skin of prawns.,4,2
0lh_UWF9ZP4_174_178,3,4,and cutting them with a knife,4,2
0lh_UWF9ZP4_178_182,0,3,A woman is cutting prawns with a knife.,4,2
0lh_UWF9ZP4_178_182,3,4,and then cutting other red meat.,4,2
0lh_UWF9ZP4_183_190,0,7,A woman is cutting red meat into thin slices.,7,1
0lh_UWF9ZP4_191_197,0,5,A women is cutting red meat into slices.,6,2
0lh_UWF9ZP4_191_197,5,6,and then cutting orange meat.,6,2
0lh_UWF9ZP4_199_207,0,7,A woman is cutting orange meat into slices.,8,2
0lh_UWF9ZP4_199_207,7,8,and them cutting some white flesh with knife.,8,2
0lh_UWF9ZP4_215_226,0,10,A woman is cutting white felsh in circular pieces with knife.,11,2
0lh_UWF9ZP4_215_226,10,11,and then cutting other long flesh ,11,2
0M-PyX2DbZc_25_31,0,5,A worker is dancing in front of people.,6,2
0M-PyX2DbZc_25_31,5,6,and a person is cheering him ,6,2
0NPtAv3_uVI_46_54,0,8,A woman is doing water surfing with a roap attatched to boat in her hand.,8,1
0ONJfp95yoE_1_10,0,9,A white cat is dancing on some beats.,9,1
0piwbTivpDg_10_40,0,16,A man is showing personal products to the camera by speaking about them ..,30,2
0piwbTivpDg_10_40,16,30,and is tying his green hair by combining them .,30,2
0RWJEOScToE_414_421,0,7,A man is washing red meat under a basin below a tap.,7,1
0SMOK2ql7Pg_5_12,0,7,A black cat is scrathing a white board with its claws .,7,1
0sUL0KCIc48_15_25,0,10,A black dog is running in a snowy region.,10,1
0vmoZEaN_-o_4_12,0,8,A cat is playing with a huge watermelon.,8,1
0vmoZEaN_-o_5_21,0,16,A cat is laying on ground with a huge watermelon and is trying to move it.,16,1
0wutCy2ZGOQ_4_10,0,6,A group of people is playing rugby in a ground.,6,1
0xx13BuvVmo_25_36,0,11,A small child is throwing water out of his mouth.,11,1
1_6V30igzIk_5_15,0,9,A small goosw is lying on a table over a red cloth.,10,2
1_6V30igzIk_5_15,9,10,and is passing from a ring made my man's hand.,10,2
1dA1RQgPN3c_72_82,0,10,A young man wearing glasses is drawing a sketch with a black marker on a white sheet.,10,2
1dA1RQgPN3c_72_82,6,10,and shows off it to the camera,10,2
1dfR0A_BXjw_401_408,0,7,A man is coating a black tray with white flour.,7,1
1dfR0A_BXjw_441_448,0,7,A man is sprinkling herbs on a dough kept in a tray.,7,1
1dfR0A_BXjw_524_532,0,7,A man is cutting baked dough with a knife .,8,2
1dfR0A_BXjw_524_532,7,8,and is separating the pieces from each other.,8,2
1dfR0A_BXjw_545_560,0,15,A person is spreading butter on a bread piece using a knife.,15,1
1dfR0A_BXjw_590_600,0,10,A guy in red wearing a yellow cap and apron is eating the bread ,10,1
1Dty_eGY9Ec_123_133,0,8,A woman is applying makeup on a man's eye whose face is already painted white.,10,2
1Dty_eGY9Ec_123_133,8,10,She then talks facing the camera.,10,2
1dYpcVv6n3Y_0_18,0,18,"A baby in diaper, standing against a table, is trying to mimic the dance steps being performed by three women that is being shown in the television in front of him.",18,1
1hPxGmTGarM_9_19,0,10,A yellow cat in a cage is purring and shrieking constantly facing front.,10,1
1kYWws89W3Y_0_5,0,1,A brown cat sitting on a sofa seat jumps onto the wall.,5,2
1kYWws89W3Y_0_5,1,5,It is climbing on the wall till it reaches the ceiling.,5,2
1mIyMRPV8kg_9_17,0,1,A black dog standing on its hind legs is dribbling a basketball.,8,5
1mIyMRPV8kg_9_17,1,2,An old man starts dribbling the ball.,8,5
1mIyMRPV8kg_9_17,2,3,The dog then catches the ball from the man,8,5
1mIyMRPV8kg_9_17,3,5,and puts the ball into the basket.,8,5
1mIyMRPV8kg_9_17,5,8,The man and the dog then starts playing with the ball again.,8,5
1N_Ic2pBM1o_2_23,0,21,A woman is playing guitar and singing along while sitting on the floor in her room.,21,1
1pw5ZdRhiig_50_59,0,9,A man wearing black is playing flute while his eyes are closed.,9,1
1qU-kF-km1Q_6_16,0,10,A young man with glasses is holding a beagle puppy and talking to the camera.,10,2
1qU-kF-km1Q_6_16,1,8,The man is petting the puppy.,10,2
1qV4wfjTYIo_151_164,0,7,A cat is trying to remove a stick from a bowl of water put on a tray ,11,2
1qV4wfjTYIo_151_164,7,9,and walks away.,11,2
1QVn0FffExM_14_24,0,10,A male lion is sitting quietly in a jungle.,10,3
1QVn0FffExM_14_24,0,2,The lion licks its mouth with its tongue.,10,3
1QVn0FffExM_14_24,8,10,Somebody in a jeep is closeby.,10,3
1qxMJLkHDLw_0_9,0,9,An old man is whipping a young man tied to a pillar.,9,2
1qxMJLkHDLw_0_9,6,9,People behind them watches them.,9,2
1RchFBCT9JU_43_53,0,10,A hedgehog is eating from a trail of yellow food lying on the wooden floor.,10,1
1rECrfrdNTo_200_207,0,4,A person breaks a egg in a pan which is filled with chopped vegetables on one side,7,2
1rECrfrdNTo_200_207,4,7,and mixes with a red spatula.,7,2
1sffYOXq4Iw_23_49,0,26,A man slices the ends of an unpeeled potato and them slices them into wedges using a knife.,26,1
1Sp2__RCT0c_11_15,0,3,A flaming rocket bursts into flames in the sky and explodes,4,2
1Sp2__RCT0c_11_15,3,4,Something gets struck by lightning.,4,2
1TjqADyYyxI_36_45,0,2,A man is walking along while pushing his bicycle.,9,3
1TjqADyYyxI_36_45,2,3,He tries to balance himself by taking support from a pole.,9,3
1TjqADyYyxI_36_45,3,9,Then he falls on the sidewalk along with the pole and the bicycle with him.,9,3
02Z-kuB3IaM_2_13,0,9,A wild black boar is running around in a forest.,9,1
2F9jX7u5nOg_83_97,0,14,A girl riding a brown horse can be seen on a muddy field surrounded by the greenery.,14,1
2F9jX7u5nOg_114_130,0,9,"A girl, in pink top and blue jeans, riding a brown horse can be seen on a muddy field surrounded by the greenery.",16,3
2F9jX7u5nOg_114_130,9,14,The girl gradually slows down and stops along with the horse facing the camera.,16,3
2F9jX7u5nOg_114_130,14,16,Camera moves to show the head of the horse from the back.,16,3
2FLsMPsywRc_45_63,0,12,"A dead fish is seen being fried in a pan on a stove, and turned over using a spatula.",18,3
2FLsMPsywRc_45_63,12,15,A lady is seen transferring the fish using a spatula onto a dish served.,18,3
2FLsMPsywRc_45_63,15,18,The person stirs the oil in tha pan with spatula.,18,3
2G9fkvBzzQE_10_20,0,10,A grey parrot can be seen speaking into a microphone.,10,3
2G9fkvBzzQE_10_20,2,4,A woman is holding the mic.,10,3
2G9fkvBzzQE_10_20,5,7,A man and two women can be seen laughing while sitting behind a table.,10,3
2HpZvL-_fiY_40_44,0,3,"Two women, in black outfits, are dancing in circle and swirling around each other with their arms linked in a living room.",4,2
2HpZvL-_fiY_40_44,3,4,A drag queen dressed in pink is smiling.,4,2
2I20ZTFHheg_96_104,0,8,A person is cutting a grey and red woolen socks into two parts using a scissors.,8,1
2jkExrrm_sQ_19_25,0,6,A brown dog is swimming in a pool of water along with a fish.,6,2
2jkExrrm_sQ_19_25,1,4,The dog is trying to catch a big fish under water.,6,2
2jXxtQRy47A_30_38,0,4,A brown bear is attacking two wolves.,8,2
2jXxtQRy47A_30_38,4,8,The bear is then protecting its cub from an attacking wolf.,8,2
2KrdBUFeFtY_22_27,0,5,A man is shuffling a deck of red playing cards on a table with black top.,5,1
2L4oELbX8Ms_1_12,0,9,A young woman in a black outfit is teaching sign language while talking and using hand actions.,9,1
2LgrGHWSy6k_122_135,0,13,A young girl wearing formal clothes is drinking alcohol straight from a bottle while sitting on a sofa seat.,13,1
2MCpA01Sn_c_75_82,0,4,A deer is standing in a jungle.,7,2
2MCpA01Sn_c_75_82,4,7,and he jumped over a fence.,7,2
2mUMTFnQWaw_1_9,0,8,A man is riding a horse in a ground.,8,1
2Nn2CAeaI5k_72_77,0,4,Children are walking on a road.,5,2
2Nn2CAeaI5k_72_77,4,5,and a kid fell down,5,2
2R_OAYQIkXM_14_22,0,2,A woman is playing with a kangroo in a ground.,8,2
2R_OAYQIkXM_14_22,2,8,and holded him in her arms ,8,2
2xpIT0L4GqE_1_10,0,4,A man is throwing water on another man through a pipe.,9,2
2xpIT0L4GqE_1_10,4,9,and colour water comes out from pipe.,9,2
2YhDTpzxd3c_22_27,0,5,A man is running behind a moving truck.,5,1
2YhDTpzxd3c_45_49,0,4,A man is doing workoit using a rod on a wall ,4,1
2YhDTpzxd3c_98_101,0,2,A man is performing martial arts with fire.,3,2
2YhDTpzxd3c_98_101,2,3,and tries to break group of tiles with hand.,3,2
2YhDTpzxd3c_102_105,0,2,A man is breaking a group of tiles with his hand.,3,2
2YhDTpzxd3c_102_105,2,3,another man is running during sunset.,3,2
2YhDTpzxd3c_115_120,0,5,A car is moving over a man's hands.,5,1
2YhDTpzxd3c_149_154,0,5,A man is eating food from a woman's hand ,5,1
2YhDTpzxd3c_166_170,0,2,A man is climbing upwards on a rope.,4,3
2YhDTpzxd3c_166_170,2,3,and a man sprinkles water on his face.,4,3
2YhDTpzxd3c_166_170,3,4,then a man appeared dancing on a stage show.,4,3
2YhDTpzxd3c_174_180,0,5,Aman is breaking water pots hanged by ropes using his leg.,6,2
2YhDTpzxd3c_174_180,5,6,and a man is lying in water.,6,2
2YhDTpzxd3c_223_232,0,8,A man is running beside a moving truck,9,2
2YhDTpzxd3c_223_232,8,9,and reached in front of the truck ,9,2
2YhDTpzxd3c_240_245,0,4,A man is breaking tiles kept on a man with a hammer.,5,2
2YhDTpzxd3c_240_245,4,5,and two men are greeting each other by bowing head towards each other ,5,2
3_51FhosiVY_93_101,0,8,A man is talking over phone while lying on a bed.,8,1
3chNlP5TeO8_0_10,0,3,A huge jet plane emerges from the sea,9,2
3chNlP5TeO8_0_10,3,9,and then flies into the sky making huge water clouds.,9,2
3doK4FQM5-k_46_57,0,11,A man is filling water in a black pan from the tap in the kitchen sink,11,1
3eqFFRSXwGE_84_96,0,12,Two dogs are fighting each other. The brown dog tries to pin down the black dog on the ground,12,2
3eqFFRSXwGE_84_96,9,12,and is wearing a white cloth as its underwear,12,2
3FnUTQMJVXI_31_36,0,4,a small brown kitten is sniffing and going inside a pair of white sneaker shoes lying on the ground,5,2
3FnUTQMJVXI_31_36,4,5,then it sits beside the shoes,5,2
3ftaoFnhTyY_140_150,0,10,someone is seen driving a car down the street near some houses,10,2
3ftaoFnhTyY_140_150,3,6,and takes a left turn and continues,10,2
3I9tSDU-OSk_17_22,0,5,A small girl is dancing while standing on top of a chair with her hands swinging,5,2
3I9tSDU-OSk_17_22,2,5,and a woman is holding her by her shirt behind her,5,2
3lBHYoI5V8s_30_45,0,15,A man cuts a portion of soft and creamy burrata cheese into two and thereafter slices one half of it.,15,1
3mbBbFH9fAg_21_29,0,2,An old man is pushing something in his garden,8,5
3mbBbFH9fAg_21_29,2,3,then smiles creepily to the onlookers,8,5
3mbBbFH9fAg_21_29,3,5,A group of four men smiles back to him with one person holding the sign saying the end is nigh,8,5
3mbBbFH9fAg_21_29,5,7,an old man with long beard wearing a hat and glasses is smiling in the camera,8,5
3mbBbFH9fAg_21_29,7,8,another old man smiles creepily while widening his eyes into the camera,8,5
3n_Kqak2JdA_48_71,0,24,An owner of the shop enters his shop.,24,3
3n_Kqak2JdA_48_71,8,11,while a man comes inside with a long stick,24,3
3n_Kqak2JdA_48_71,11,24,and a woman enters and buys something from the shopkeeper.,24,3
3opDcpPxllE_50_66,0,7,A black car is moving in a racing track.,16,3
3opDcpPxllE_50_66,7,12,while another car closely follows it from behind .,16,3
3opDcpPxllE_50_66,12,16,And the black car goes out of the track ,16,3
3OPQqH3YlHA_50_54,0,4,A woman is peeling the potatoes ina kitchen.,4,1
3qqEKTPxLNs_1_15,0,12,A baby is playing with a pacifier sitting over a bed with a small trumpet between legs.,12,1
3SKyc0aKx70_46_52,0,5,Two men are jumping and doing back filps over a trampoline.,6,2
3SKyc0aKx70_46_52,5,6,While a boy tries to take a back flip from a cart kept in ground,6,2
3ytUOoa1SBE_12_23,0,11,A group of dancers is performing on a stage show.,11,1
3zgEl-OLFKE_12_15,0,2,A black cat is running upstairs while a boy tries to catch it.,3,2
3zgEl-OLFKE_12_15,2,3,and then the cat runs downstairs behind a ball.,3,2
3zrVqwV29V8_69_76,0,7,A man is eating food sitting over a table in a room.,7,1
04Gt01vatkk_248_265,0,17,A lady is cutting a hard Vegetable into small pieces witha knife while sitting in a kitchen,17,1
04Gt01vatkk_308_321,0,12,A lady is cutting green vegetables into small pieces using a knife while standing ina kitchen.,13,2
04Gt01vatkk_308_321,12,13,and is having the chooped Vegetables in a transparent bowl.,13,2
4_WZN7uW0NY_140_145,0,4,Two girls are moving water out of the room using a standing mop.,5,2
4_WZN7uW0NY_140_145,4,5,"and a caption appears no electricity,no running water and business closed.",5,2
4D1o4FC8YbA_207_216,0,9,A lady is dancing besides a huge bonfire.,9,1
4eJJF11bIxM_1_9,0,8,A woman is talking to another woman over a phone call.,8,1
4ge5_V-xhP0_35_42,0,7,A small black dog is moving his tail .,7,1
4ge5_V-xhP0_138_142,0,4,A lady opens a fridge and takes out a drink out of it,4,1
4Hhdr1IPOGs_1_10,0,9,Two children are sitting on a sofa while the younger one is moving his head to sleep.,9,1
4Hhdr1IPOGs_90_98,0,8,A small kid is trying to sleep over another child behind him while sitting on a sofa.,8,1
4ikH9ZRcF2Q_89_105,0,16,A squirrel is moving in circular motion in a ground full of dead leaves.,16,1
4JVpbYmqfcI_5_19,0,3,A boy is counting a pack of cards,4,2
4JVpbYmqfcI_5_19,3,4,and collects all the cards to dab them on the table.,4,2
4kQnrKvOTNg_15_24,0,9,A small puppy is trying to move down from the stairs.,9,1
4lXdVS697DQ_10_25,0,15,Two men are standing over a moving boat in a huge sea.,15,1
4MjTb5A68VA_111_118,0,6,A girl is running with thread roll and a kite in hand is huge ground.,7,2
4MjTb5A68VA_111_118,6,7,and the kite gets tangled on top of a tree.,7,2
4QdX5Q3qQsQ_38_44,0,6,A man is doing some jerky movements while a woman stands behind him,6,2
4QdX5Q3qQsQ_38_44,5,6,and then walks away,6,2
4QYPZM01xFE_14_26,0,12,A person is peeling the skin off an onion.,12,1
4R-tumAGrtU_12_22,0,8,A young man with long hair is shooting repeatedly with a pistol standing in a shaded open area.,10,2
4R-tumAGrtU_12_22,8,10,Thank you for watching is written.,10,2
4s_0-zIWEog_1_15,0,14,A man is eating cereal while reading the back of a cereal box and a woman is working alongside in the kitchen.,14,1
4t5POXt2e68_5_11,0,3,A baby is laughing so hard while sitting on a bed,6,2
4t5POXt2e68_5_11,3,6,and falls overs,6,2
4Tn5S48sCwg_110_118,0,8,A woman in pink saree is massaging a small baby lying on her legs and singing to the baby.,8,1
4UOVKok7j1U_1_8,0,7,A boy is playing guitar and singing along,7,1
4VLrxtf7Z_8_0_7,0,7,A woman is riding a brown horse on a course,7,2
4VLrxtf7Z_8_0_7,4,5,The horse jumps over an obstacle,7,2
-4wsuPCjDBc_5_15,0,10,A squirrel is eating a peanut sitting inside a cage,10,1
4wT7zM8XgXQ_5_11,0,6,A black car runs into a motorcycle and crashes into a building across from it,6,2
4wT7zM8XgXQ_5_11,0,2,A car parked between two cars drives up onto the sidewalk,6,2
4xVGpDmA4lE_23_33,0,10,A man is carrying luggage on his head and a woman with her arms around his neck on his back while singing,10,2
4xVGpDmA4lE_23_33,8,10,and walking on a road alongside a river,10,2
4yf2WP6K1gQ_28_32,0,4,A woman is bathing sitting in a bathtub with soap in her hands,4,2
4yf2WP6K1gQ_28_32,3,4,A snake like object comes out from behind the bathtub,4,2
4yYapi-5QYQ_33_57,0,24,A man is performing some magic tricks with a deck of cards where the topmost card disappears each time he runs his hand across the deck.,24,1
4z3b4mnw5y4_56_60,0,4,A man is drilling some nails into a wooden fireplace using an electric drill,4,1
4zPSShqsq-o_3_16,0,13,A small baby lying down is smiling and laughing while reciprocating sounds at the camera,13,1
05gNigkqfNU_11_23,0,12,A person is peeling the skin off a raw potato with a peeler,12,1
05gNigkqfNU_24_32,0,8,A person is chopping the thick potato sticks into smaller square pieces using a knife,8,1
5-8z5U-o4O4_0_3,0,3,A group of people is riding horses on a road.,3,1
5AEldiUP408_65_71,0,3,A man is running without pants in a street.,6,2
5AEldiUP408_65_71,3,6,and is losing breathe while running.,6,2
